Month ,Day ,Year,Date,WaterQualitySite,TempF,PrecipitationCurrentDay,pH,Conductivity,DissolvedOxygen,Turbidity,Nitrates,TotalPhosphates
2,16,2016,2/16/2016,North,40,0,8,530,12,nv,1.32,0.6
2,18,2016,2/18/2016,North,55,0,8,515,8.7,nv,1.32,0.6
2,16,2016,2/16/2016,West,44,0,8.6,560,9,nv,NA,0.7
2,18,2016,2/18/2016,West,68,0,8,530,8.7,nv,3.96,0.56
3,30,2016,3/30/2016,NEGP,78,0.1,7.9,100,8.26,4.8,NA,2.11
3,1,2016,3/1/2016,North,40,0,9.4,610,8.7,nv,2.684,0.54
3,3,2016,3/3/2016,North,51,0,8.2,600,8.7,nv,3.98,0.38
3,11,2016,3/11/2016,North,60,0,7.7,300,7.8,nv,4.4,0.9
3,29,2016,3/29/2016,North,61,0,8.8,650,8,nv,1.32,0.45
3,29,2016,3/29/2016,North,61,0,8,418,8.7,nv,NA,2.11
3,31,2016,3/31/2016,North,59,0.1,8.6,653,17,nv,1.54,0.46
3,1,2016,3/1/2016,West,40,0,8.2,620,7,nv,0.572,0.5
3,3,2016,3/3/2016,West,50,0,8.4,610,13,nv,0.308,0.5
3,29,2016,3/29/2016,West,62,0,8.5,640,10,nv,0.088,0.34
3,29,2016,3/29/2016,West,62,0,8,418,8.7,nv,NA,2.11
3,31,2016,3/31/2016,West,55,0.1,8.3,660,9,nv,0.176,0.43
3,30,2016,3/30/2016,WGP,78,0.1,8.1,100,8.24,4.9,NA,2.11
4,14,2016,4/14/2016,NEGP,66,,8.1,100,7.8,8,NA,2.11
4,21,2016,4/21/2016,NEGP,68,0.29,7.8,110,6.57,3.2,NA,2.11
4,26,2016,4/26/2016,NEGP,77,0.03,7.9,110,5.7,3.5,NA,2.11
4,14,2016,4/14/2016,North,66,0,8.1,666,10,nv,0.25,0.32
4,14,2016,4/14/2016,North,66,,8.4,640,8.7,75,NA,2.11
4,21,2016,4/21/2016,North,68,0.29,8.1,620,7.14,14,NA,2.11
4,26,2016,4/26/2016,North,77,0.03,8.5,680,4.55,41.3,NA,2.11
4,14,2016,4/14/2016,West,60,0,8.4,670,8,nv,0,0.36
4,14,2016,4/14/2016,West,66,,8.4,650,16.1,75,NA,2.11
